class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
Stressed	hue	0.01976556220623927	0.02086973769180721	0.021700850631956353	0.02227495542650006	0.022625888316014208	0.02279757355702356	0.02283553163944359	0.022779234584430184	0.022656628747178543	0.022481563642017997	0.022254194664624843	0.021963837343862768	0.021593363882301198	0.021124100600835263	0.020540287228774583	0.019832424168830486	0.018999168887458333	0.018047761464664514	0.016993202383121225	0.015856546511249212	0.0146627194127364	0.013438228735803949	0.012209065253822026	0.01099899340439998	0.009828339715227558	0.008713309364292982	0.00766579888215033	0.0066936257581270255	0.0058010626332592715	0.004989545797871735	0.004258426998755728	0.003605655307054714	0.003028310036620414	0.0025229503168505167	0.002085792619856312	0.001712764447512721	0.0013995031522080822	0.0011413709100851087	0.0009335427819874103	0.000771200838380106	0.0006498406512827218	0.0005656723673513238	0.0005160788841045671	0.0005000768767260593	0.0005187097430561847	0.0005752837140078943	0.0006753424508432476	0.000826269833020833	0.001036427667791148	0.00131378673810805	0.001664101444885619	0.002088803116956096	0.0025829216149408146	0.003133451780311762	0.0037186175882847126	0.0043084177487423235	0.004866650499191527	0.005354335021276992	0.00573412962042411	0.005975072719750528	0.006056822390651206	0.005972598297502982	0.005730244955748063	0.0053511926265538655	0.004867505691400803	0.00431757520213169	0.0037412442193320208	0.0031752033258890156	0.0026493626801434283	0.0021846454941921605	0.0017923320791923749	0.0014747919119254612	0.0012272325794738938	0.0010399968711526425	0.0009009490496264525	0.0007975816424498367	0.0007186075047237784	0.0006549420572679813	0.0006001000796244351	0.0005501148373762079	0.0005031305330901659	0.0004588263442853989	0.00041781075999777555	0.00038108938362022205	0.0003496680551839839	0.0003243141826115201	0.0003054678648430283	0.00029327317940580703	0.0002876889390870985	0.00028863575032749326	0.0002961400750790348	0.0003104439860534783	0.00033205967252290287	0.0003617593629223023	0.0004005034943642518	0.00044932212224770886	0.0005091759426416409	0.0005808326136084159	0.0006647994560461426	0.0007613528731573107	0.0008706958547982851	0.0009932564188110309	0.0011301119342604215	0.0012834890896387115	0.0014572511639546605	0.0016572498271486213	0.001891396534787311	0.002169308614707695	0.0025014171487622488	0.0028974946749832226	0.003364670762874309	0.003905141795623178	0.004513923203790483	0.005177100838872867	0.005871070760535415	0.006563178567395989	0.00721396840348479	0.007780950408320213	0.00822345298688927	0.008507827889162406	0.0086121091419681	0.008529252672033647	0.008268313791437063	0.00785330837067508	0.007319957262922175	0.0067109195995380035	0.0060703809652796125	0.005438922671892272	0.0048494604778742	0.004324757949479377	0.003876673737486584	0.003506978562711136	0.0032093413948254008	0.0029719668699533896	0.0027803657064898535	0.002619830423128174	0.0024773318046508374	0.002342708821526574	0.0022091651723472987	0.002073189404958944	0.0019340740484610213	0.0017932233427198105	0.0016534171770337953	0.0015181533879173904	0.0013911358005656565	0.0012759242327692714	0.0011757244487547286	0.0010932752483886735	0.0010307861646111176	0.0009898885949996372	0.0009715797080167289	0.0009761561887425508	0.0010031491770350939	0.0010512799165394659	0.0011184569579146292	0.0012018310860523046	0.0012979152898053032	0.0014027662888083075	0.0015122135307977349	0.0016221129327511554	0.0017285971630484473	0.0018282926053450547	0.0019184755410434357	0.0019971464832056053	0.0020630116819047415	0.0021153738983694793	0.0021539492759524363	0.002178641373166894	0.0021893143215225516	0.0021856116000660854	0.002166862728537004	0.002132106536479306	0.00208023809343186	0.002010260714922805	0.0019216001339824225	0.0018144207240599088	0.0016898781599212782	0.0015502511800620936	0.0013989160155708637	0.0012401563304780068	0.0010788328072365702	0.0009199628825846294	0.0007682768604956873	0.0006278185986756041	0.000501647431757633	0.00039167635166652764	0.00029865520231573734	0.00022228279176577566	0.00016141338058183287	0.0001143138166492333	7.892794968346397e-05	5.311296929176667e-05	3.482474603808833e-05	2.2242633925213695e-05	1.3835672902551953e-05	8.380025809176983e-06	4.941349929870682e-06	2.8361758257210003e-06	1.5843351159468704e-06	8.612564888145404e-07	4.555542863489596e-07	2.3443654572586784e-07	1.173674345383184e-07	5.7157116736090495e-08	2.7074470340658376e-08	1.247343362035808e-08	5.588824286875171e-09	2.435216172409068e-09	1.0318425879667036e-09	4.2513439904733993e-10	1.703160117205859e-10	6.63410130173544e-11	2.5123971600662586e-11	9.250332598018324e-12	3.311109367719524e-12	1.1521843376181682e-12	3.8975222053378364e-13	1.281622289770737e-13	4.0966003807964063e-14	1.2728203115595032e-14	3.8439605329968946e-15	1.1283606505525639e-15	3.219314769949723e-16	8.927197991129611e-17	2.405986614203624e-17	6.302139593705495e-18	1.604317770441332e-18	3.9690945136769207e-19	9.542948183039472e-20	2.2297463505702706e-20	5.062931999182817e-21	1.1171582333625918e-21	2.3954423844874797e-22	4.9912340334004554e-23	1.0105882896420941e-23	1.988281623022852e-24	3.801125887883517e-25	7.061077023324032e-26	1.2745234183381329e-26	2.2353055882235994e-27	3.8091882772523746e-28	6.307087523506866e-29	1.014660564523636e-29	1.5859993948106024e-30	2.408632554201048e-31	3.5540092009481024e-32	5.094978303073806e-33	7.096389185376736e-34	9.602835064263767e-35	1.2624793745346473e-35	1.6125302293393538e-36	2.000996419495388e-37	2.412325448091326e-38	2.825355055046151e-39	3.2148021954506287e-40	3.553663036211659e-41
Healthy	hue	0.01263459142508865	0.011894688529624543	0.009813174130905529	0.007194185757660297	0.00484000075291662	0.00319795180231725	0.0023110716065614517	0.0019896769675828946	0.0020080493578734865	0.0022083044260610613	0.002511951536665704	0.002889959967259714	0.003331252656242897	0.003826533551870479	0.0043712615915258235	0.004982074137650927	0.005710194727895248	0.006633537334642719	0.007826311162017548	0.009329202281602776	0.01114728280513568	0.013278157887058164	0.01574688938053912	0.018627141707945435	0.022049248519392398	0.026195282178638746	0.03124894588481604	0.03725514238991951	0.0439073708073857	0.05039273430257638	0.055465580863061	0.05780670043978205	0.05652460858958848	0.051539075669961354	0.04364901715226061	0.034262845221264555	0.0249297670011947	0.016880121495615488	0.010754588369763644	0.006597303717393539	0.0040543147263421425	0.0026328967432638377	0.0018909987245097548	0.0015121794245946956	0.0013005793371048523	0.0011506637831803664	0.0010198557207434635	0.0009035515136434819	0.0008084537119291826	0.0007324597188245657	0.00066328506814606	0.0005961371462329181	0.0005583579640646601	0.0006293567718192326	0.0009481933022006013	0.0016920565629367549	0.002997348312063309	0.0048224812706727195	0.00683152047399434	0.00843506160677426	0.009047178016973374	0.008420172837517762	0.006799899785407054	0.004769624726324991	0.002914064172691879	0.0015621170114614765	0.0007489017078882408	0.0003385853667866403	0.00016732570878209737	0.00012041372400417488	0.0001419456741518925	0.00021171160472560242	0.0003174494596120809	0.0004363486741838975	0.0005326467373570292	0.000571566416869322	0.0005389956972416514	0.0004502890485314481	0.00034009556153549264	0.00024169468459441892	0.00017189686809282765	0.00012978849201043195	0.00010518059251198196	8.789346964949476e-05	7.261198928775247e-05	5.907017790322469e-05	4.9554996079986424e-05	4.5843534076209725e-05	4.727902331147464e-05	5.096373949436796e-05	5.379069446322745e-05	5.4734219107970464e-05	5.550417513777849e-05	5.890505440287167e-05	6.622386448991105e-05	7.59275028744429e-05	8.48741251750054e-05	9.110505877301331e-05	9.610935384874468e-05	0.0001051035608420228	0.00012521124963933716	0.00016213769322395298	0.0002164497687928581	0.0002818211433297667	0.00034808119150096046	0.00040869618977914184	0.0004666762440168485	0.0005318458838828919	0.0006102236329352279	0.0006959317525595298	0.0007759987878658954	0.0008488471620184358	0.0009512392254590773	0.0011904421425420562	0.0017712021465724204	0.002977514321122662	0.005049102279958197	0.007949114038337222	0.011161569317823847	0.013750691667908021	0.014779326405299695	0.013855486723342747	0.01138251157711281	0.008297731492736785	0.005519782317393495	0.003533359071507013	0.0023437656271089553	0.0016999404079030289	0.0013434994651851813	0.0011324663008187488	0.0010364198122283599	0.001070639024216405	0.0012302834869975996	0.00145747050910397	0.0016530200664683064	0.0017242543428062258	0.0016364272521783966	0.001427921431906186	0.0011766204873035935	0.0009471011825644787	0.0007617437558201828	0.0006103466257516126	0.00047695390325181564	0.00035627762568296795	0.000252360041488196	0.00017009002430055196	0.00011032732124227706	7.027609352833136e-05	4.559605114707301e-05	3.188584530864128e-05	2.5557148912599912e-05	2.4526874621916804e-05	2.8467282945085063e-05	3.827998068739517e-05	5.51256275957523e-05	7.97241170847861e-05	0.0001122219029216118	0.00015247717002285716	0.00020102722903366947	0.00026129741716807977	0.00034163068851190737	0.00045246292615118514	0.0005953063381372774	0.0007494557629579098	0.0008711236285726413	0.0009139050629331704	0.0008592568806211218	0.0007319848738206535	0.0005866043908067382	0.00047585333845131736	0.000425555844289749	0.000429939778687557	0.000463567649089979	0.0004977757965389069	0.000512361688843783	0.0004993169970769432	0.00046011431655113905	0.0004007453832044174	0.0003284656356679398	0.00025112163154405147	0.00017706870920746685	0.00011385312159214901	6.61013319416665e-05	3.437739745148585e-05	1.5915050984312078e-05	6.526340182326421e-06	2.3612647412587157e-06	7.513514469294481e-07	2.0971275821886375e-07	5.12329430846388e-08	1.0935531094044002e-08	2.036368971933873e-09	3.3042507329618686e-10	4.6672207303637084e-11	5.734031227619023e-12	6.123368737582128e-13	5.680867589922969e-14	4.576581641385547e-15	3.2004679671924023e-16	1.942241804866625e-17	1.0225992249913889e-18	4.6701776023481506e-20	1.8497610855722917e-21	6.353206712455687e-23	1.8919786774470237e-24	4.8847727294822935e-26	1.093309265333612e-27	2.1212087828484325e-29	3.5673133555442797e-31	5.19991285438014e-33	6.569472227541608e-35	7.193326561898483e-37	6.826237907467094e-39	5.614029960104261e-41	4.001294957587304e-43	2.4714460403207415e-45	1.3228778093295794e-47	6.136215727848864e-50	2.466543975838657e-52	8.591722033479166e-55	2.593409105863608e-57	6.783567575678165e-60	1.5375840910927345e-62	3.0200271930528324e-65	5.140105871181327e-68	7.580899925129913e-71	9.688475447571453e-74	1.0729384247328685e-76	1.0296217392636647e-79	8.561762618104494e-83	6.169221904932283e-86	3.8519319152793164e-89	2.0840454278785584e-92	9.770472868494323e-96	3.9692032083639145e-99	1.397236826176294e-102	4.26201817836222e-106	1.1265198506285437e-109	2.58012300447804e-113	5.120587047666029e-117	8.805959351373753e-121	1.3122331571198705e-124	1.694425957207979e-128	1.8958820406806382e-132	1.838133478266387e-136	1.5442574160681234e-140	1.1241886082160235e-144	7.091456207747664e-149	3.8762195522478894e-153	1.835937754788367e-157	7.535015201732794e-162	2.679704258824667e-166	8.257833424471609e-171	2.2050673400433448e-175	5.102159790289475e-180	1.0229695151919803e-184
Background	hue	0.005953436335618773	0.002853845200437079	0.0003143537015575804	7.965523840460912e-06	3.9560326219026816e-07	3.1713987988520367e-06	6.61575921474734e-06	3.1713369494918705e-06	3.493256556945904e-07	8.841866943141558e-09	5.1426014063745675e-11	6.87301276110334e-14	2.110750181016858e-17	7.567819710500729e-21	8.613222475053981e-17	2.80463262670832e-13	2.0985131545367359e-10	3.608052155830377e-08	1.425474046624694e-06	1.294110077776441e-05	2.6996565750398976e-05	1.2941100777764338e-05	1.4254740466246898e-06	3.60805215583168e-08	2.098514979314262e-10	8.74646301372677e-13	4.4458627223170914e-10	7.64393658310364e-08	3.0199766363274234e-06	2.7416719434315422e-05	5.7194305305192445e-05	2.7416719434315327e-05	3.019976636327406e-06	7.643936583102956e-08	4.4458618609946327e-10	5.941830387018461e-13	1.8247775673257665e-16	1.2877305920089527e-20	2.08816825804592e-25	7.7809274045068135e-31	6.662276206960288e-37	1.3108086578234775e-43	5.926269064823111e-51	6.156711830507297e-59	1.4697439617215993e-67	8.062318289715237e-77	1.016257096629181e-86	2.9435582876674705e-97	1.959147280300941e-108	2.996311272113867e-120	1.0530092045917623e-132	8.503599617555256e-146	1.5779703438407768e-159	4.298202802252867e-160	2.3162790003042302e-146	2.8682713408661205e-133	8.16159413672954e-121	5.336483263507215e-109	8.017901305961116e-98	2.7681629870865436e-87	2.196079235631402e-77	4.003407059913262e-68	1.6770147896531008e-59	1.6142449318361598e-51	3.5704862694445155e-44	1.8147244892093527e-37	2.1194317183919297e-31	5.687921001394201e-26	3.507624373756002e-21	4.9704762095069554e-17	1.6184836501952515e-13	1.2109996860172e-10	2.0821170543526586e-08	8.226055763130621e-07	7.467987010093267e-06	1.557904584805625e-05	7.467987010093267e-06	8.226055763130621e-07	2.0821170543526586e-08	1.2109996860172e-10	1.6184836501953848e-13	4.9704762095069554e-17	3.507624373756002e-21	5.687921001394201e-26	2.1194317183919297e-31	1.8147244892093527e-37	3.5704862694445155e-44	1.6142449318361598e-51	1.6770147896531008e-59	4.003407059913262e-68	2.196079235631402e-77	2.7681629870873384e-87	8.017901308835227e-98	4.319781621416447e-96	1.4913952093440925e-85	1.1831752922927584e-75	2.1569041050194227e-66	9.03520433932253e-58	8.697020982069598e-50	1.9236606161267768e-42	9.777138926110771e-36	1.1418801299224767e-29	3.064464835408026e-24	1.8897926934223544e-19	2.6779291687650965e-15	8.719857803038996e-12	6.524468171378192e-09	1.1217762157216825e-06	4.431928399526396e-05	0.00040235058847178947	0.0008393482610008671	0.00040243481193906813	4.7657915695404825e-05	3.186969059354891e-05	6.812915340297768e-05	4.095807369399713e-05	9.933190886029573e-06	0.0002487110671549667	0.009800317992517025	0.08897160244690971	0.18560459071191707	0.08897160648248187	0.009801065474656465	0.00028746656099047825	0.0007261910369939612	0.00484350199713815	0.009271860527384287	0.00435291848169081	0.0004785177931936825	0.000126121227984538	0.004262277828903684	0.03884154815507045	0.08344297533244968	0.04506626020796083	0.007404586531149619	0.0004801073450681508	2.304589414655049e-05	0.00024318402261860962	0.009552703399619583	0.0867304567420227	0.1809927419156203	0.0868931928039812	0.009636668198304044	0.0003246398103465344	0.0006710212596356915	0.0013983572068122301	0.0006750458982066055	7.672663649570301e-05	5.5777735823080255e-06	3.076062551004809e-05	6.413024450486022e-05	3.074157308281072e-05	3.434722272919376e-06	8.427440412099414e-06	0.0003295669638589525	0.0029919941740388254	0.006243221734928583	0.003008239500127446	0.0004045573182646636	0.0004166258933189592	0.0008217740748914093	0.0003938807784125439	5.503536972330275e-05	0.00022165122219265982	0.0018857753956388471	0.00392108646330414	0.0018793017157513366	0.00020784398051407774	2.9349522589208303e-05	0.00019996189873873802	0.0004090205418665424	0.00023569322509084986	0.0003947547718413157	0.0007793872728615108	0.00037335249111156285	4.116972301933444e-05	1.4501206853887344e-06	8.597005168168997e-07	4.092128589860756e-07	4.507428063902697e-08	1.1408860573547316e-09	6.635614717903595e-12	8.868403562715197e-15	2.723548607949306e-18	1.921985958222699e-22	3.116669041860252e-27	1.1613324484341137e-32	9.943695831285796e-39	1.9564308325727052e-45	8.845177708693177e-53	9.189122135087566e-61	2.1936477040626298e-69	1.2033310880175154e-78	1.5168016367601805e-88	4.3933705786088305e-99	2.924100418360118e-110	4.4721063762901453e-122	1.5716555292417075e-134	1.269193972769442e-147	2.3551796176728014e-161	1.0042583796414512e-175	9.839936394435224e-191	2.2154630694300345e-206	1.1462045699985068e-222	1.3626526128176552e-239	3.722490240328777e-257	2.3367237850133537e-275	3.3705951182794595e-294	1.1172006832e-313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stressed	saturation	0.0008662726218719058	0.0008756921430154106	0.0008788654457684603	0.0008763582449951784	0.0008689723023637207	0.0008577113833113049	0.0008437375522860767	0.0008283207144308175	0.0008127846785904764	0.000798453106928649	0.0007865985364899203	0.0007783972400262184	0.0007748920906562435	0.0007769648745321311	0.0007853187301184923	0.0008004706516041159	0.0008227533372166238	0.0008523251357537384	0.0008891864738477795	0.000933200941767873	0.0009841191701645197	0.0010416037243685162	0.001105253448167134	0.0011746259724017098	0.0012492574317182269	0.001328678774384893	0.0014124283790029842	0.0015000609877303082	0.0015911532139072516	0.0016853060739557978	0.0017821451251966377	0.0018813188628451917	0.0019824960440712816	0.0020853625702683346	0.002189618478226566	0.002294975476028343	0.002401155320895348	0.002507889185633958	0.0026149180100510285	0.002721993695933859	0.0028288808901581423	0.002935359019601407	0.0030412242004569526	0.0031462906463806217	0.0032503912438572803	0.003353377044369348	0.0034551155328387045	0.0035554876590029377	0.0036543837496971474	0.0037516985420169126	0.00384732567761144	0.0039411520670235185	0.004033052563554264	0.004122885376245603	0.004210488603112582	0.004295678184398955	0.004378247470182597	0.004457968477768547	0.004534594793343124	0.004607865960064004	0.004677513100154842	0.004743265448256734	0.004804857430928188	0.004862035913542664	0.004914567249023424	0.004962243798963268	0.005004889651348275	0.005042365324383108	0.005074571316773561	0.005101450435745606	0.005122988900321406	0.005139216275198262	0.005150204337239145	0.005156065010336149	0.005156947524479859	0.005153034961339136	0.005144540342580789	0.00513170240040773	0.005114781145147662	0.005094053315636974	0.005069807768639465	0.005042340837738118	0.005011951673915905	0.004978937572453107	0.004943589295563841	0.004906186417509589	0.004866992746975938	0.004826251916805292	0.004784183268755497	0.0047409781950326114	0.004696797123006139	0.0046517673396063	0.004605981843688119	0.00455949938642416	0.004512345812130745	0.004464516747647554	0.004415981612148603	0.004366688837041206	0.004316572103882363	0.0042655573333335054	0.004213570095562221	0.004160543066450677	0.004106423127398559	0.004051177700997497	0.0039947999310576705	0.003937312353277616	0.0038787687618489636	0.0038192540567279862	0.003758881955075388	0.003697790566600756	0.003636135963082258	0.0035740840121670837	0.003511800887324568	0.003449442799748027	0.0033871456120854963	0.003325015074900421	0.0032631184615490127	0.0032014783544674985	0.003140069248282796	0.003078817480977778	0.0030176047888586296	0.0029562755171454384	0.0028946472256393767	0.0028325241336715525	0.002769712579094222	0.002706037450971289	0.002641358419779589	0.0025755847503490872	0.002508687549882913	0.002440708473648008	0.002371764170580134	0.0023020460765997997	0.0022318155241780355	0.0021613944983052205	0.002091152697557031	0.0020214918246757273	0.0019528282117323682	0.0018855749677657717	0.001820124819511316	0.0017568347060104314	0.0016960130013573462	0.0016379099981618983	0.0015827120119807792	0.0015305391885307243	0.0014814468332259747	0.001435429854726115	0.0013924297341128978	0.0013523433073016934	0.0013150325839204838	0.0012803348207518963	0.00124807211831233	0.0012180599090875635	0.0011901138470828806	0.0011640547805146244	0.0011397116806841792	0.0011169225966751516	0.0010955338925114856	0.001075398185223795	0.001056371523848584	0.0010383104177547804	0.0010210693286364424	0.0010044991802015447	0.00098844731583871	0.0009727591573309723	0.0009572816038285595	0.0009418679820673235	0.0009263841417315767	0.0009107151096880331	0.000894771596401763	0.0008784956040233121	0.0008618644268099649	0.0008448924592712991	0.000827630424241109	0.000810161881677775	0.0007925971525597585	0.0007750650606666404	0.0007577031285387756	0.000740647036608442	0.0007240202474124292	0.0007079246999517712	0.000692433392592837	0.0006775855059848369	0.0006633844881219941	0.0006497992556150507	0.0006367683855099828	0.0006242069075269417	0.0006120150821316268	0.0006000883848109069	0.0005883278245561297	0.0005766497105221408	0.0005649940433987077	0.0005533308388107748	0.0005416638749071833	0.0005300315773399144	0.0005185049920009404	0.0005071830289908873	0.0004961853716787527	0.00048564361675553825	0.00047569133336597435	0.00046645379503543807	0.0004580381453359406	0.00045052471021098193	0.000443960073693855	0.00043835240017390696	0.00043366932841156717	0.0004298385946884708	0.00042675137985048864	0.0004242682319498509	0.00042222730604021174	0.0004204545966487733	0.00041877582506701506	0.0004170296883171286	0.00041508228065130834	0.00041284265855110017	0.0004102797276020589	0.00040744086940469625	0.0004044729771244374	0.0004016468003031379	0.0003993856768291162	0.00039829980969401265	0.00039922718059854994	0.00040328193210557286	0.00041191054816072843	0.0004269553817296056	0.0004507239973725318	0.00048606142138407773	0.0005364207641150324	0.0006059258842527306	0.0006994179403704069	0.0008224760106276195	0.0009814006947986573	0.0011831490158428738	0.00143520929455751	0.0017454062429047745	0.002121629510594226	0.002571483420890239	0.003101861591767793	0.0037184573199082836	0.004425228567051513	0.005223844490258042	0.006113147893198098	0.007088673832110717	0.0081422679635737	0.009261848246100886	0.010431349698755804	0.011630883808310014	0.012837132017233653	0.014023977145809328	0.015163358695729854	0.016226319235626483	0.0171841912342744	0.018009858614494896	0.018679016660850686	0.019171349089960942	0.019471542925675156	0.01957007049271224
Healthy	saturation	0.0015292447972258768	0.0015255910969345855	0.0014807305904382742	0.001401214183156166	0.0012966062564974254	0.0011780484849792106	0.0010567095698840927	0.0009424137230362668	0.0008426689990266061	0.0007622024875589464	0.0007029887460164619	0.0006646626971957523	0.0006451575104799682	0.000641404418519287	0.0006499641892669832	0.0006675112770695549	0.000691143810128929	0.0007185330136315824	0.0007479490384689713	0.0007782073554531831	0.0008085755506311623	0.0008386702148134411	0.0008683623736714666	0.0008977003890896391	0.0009268525121486225	0.0009560671408187032	0.0009856467257706102	0.0010159305949891924	0.0010472823376187948	0.001080078507954032	0.001114696941714396	0.0011515044709339132	0.00119084482117792	0.0012330276972250726	0.0012783195751972344	0.0013269359314730354	0.001379034123529872	0.001434706329902613	0.0014939728995157836	0.0015567777410808658	0.0016229883034328501	0.001692402614471653	0.0017647645093105651	0.0018397858986549146	0.0019171724898957743	0.0019966477233289773	0.0020779695463530286	0.0021609362196251714	0.002245380223256123	0.0023311526405216517	0.0024181031202006368	0.0025060618240311918	0.0025948292689697908	0.0026841778442394833	0.002773865675708909	0.002863660353895459	0.002953367744399506	0.0030428602530205556	0.003132099601915405	0.003221150937153577	0.0033101871401103344	0.003399483763185547	0.003489405615545832	0.003580385798962999	0.0036728975287921074	0.0037674191150622086	0.0038643934910722703	0.003964185540419265	0.004067042457250516	0.0041730634409702354	0.004282184318683586	0.004394179973981993	0.004508683319997435	0.004625215232513338	0.00474321684272308	0.00486207508803697	0.004981134928964343	0.005099696725891195	0.005217003619519748	0.005332229491771159	0.005444481250024534	0.005552828343590038	0.005656367189494839	0.005754319464186412	0.005846153103935229	0.005931706084702294	0.006011288166451811	0.006085736313019841	0.0061564054486887105	0.006225086135993433	0.006293852323635297	0.0063648531526588215	0.006440071253215166	0.006521075324228109	0.006608797108178729	0.006703362350954552	0.006804001809892575	0.006909061244714651	0.007016118060491153	0.007122197236619274	0.007224062324733296	0.0073185421879319295	0.007402845054853905	0.007474811824537554	0.00753307146649147	0.007577080747628347	0.00760705358915351	0.007623806133188155	0.00762855694148762	0.007622725000026632	0.007607761788980626	0.007585040519151873	0.007555809782530176	0.007521204043992419	0.0074822921086449695	0.007440138071708684	0.007395847538718447	0.007350575037279637	0.00730547644832217	0.00726160262471927	0.007219745943398686	0.007180267762457011	0.007142947624146377	0.007106899935779447	0.007070597061785225	0.0070320182520470864	0.006988914565222105	0.006939147871885472	0.0068810365070285364	0.006813630054644462	0.006736846180013155	0.006651432346037966	0.0065587572023636095	0.006460478632726249	0.006358165603318156	0.00625296043462639	0.0061453547656958206	0.006035121090874122	0.005921402107487388	0.0058029234962379325	0.005678271343943041	0.0055461678794991014	0.005405688085527965	0.005256380563320078	0.0050982821743761585	0.004931840827725485	0.004757779164029208	0.004576940855274184	0.004390160164157636	0.004198185693625322	0.004001673832179152	0.003801250052753039	0.0035976207943984873	0.003391708176043764	0.003184775767385077	0.002978515785826902	0.002775074671171806	0.0025770027444217973	0.0023871228588149083	0.0022083221331905155	0.0020432807218472805	0.0018941630408239609	0.0017623096840256307	0.0016479799436809753	0.0015502007369904904	0.0014667724617563234	0.00139446228579474	0.0013293813639847934	0.0012675007785443785	0.0012052225200026377	0.0011398988854070553	0.0010701955841774225	0.0009962230298008617	0.0009194105972925685	0.0008421567363935038	0.0007673374684973044	0.000697783084314967	0.0006358308785470858	0.0005830326053148762	0.0005400490680781197	0.000506715262824376	0.00048222175855550705	0.00046534088374819026	0.00045463211020157823	0.00044858500415491083	0.00044569044488079534	0.000444460092410317	0.0004434309947698087	0.00044119233269617386	0.00043645620284659276	0.0004281707752793837	0.0004156514205759278	0.00039869196145426934	0.0003776187622825118	0.00035326437612205613	0.000326859623380999	0.00029986542690585915	0.0002737810282173817	0.0002499688714772303	0.0002295281924838959	0.00021323278624575432	0.00020152941534628798	0.00019457788228012722	0.00019230623275229514	0.00019445639584862235	0.0002006053621323133	0.00021016102173472613	0.00022234520989871344	0.00023618484918111696	0.0002505325026728597	0.0002641298704432116	0.0002757141874802243	0.0002841525409609842	0.00028857782953944195	0.00028849632376041356	0.0002838419363704259	0.0002749647591865701	0.00026255717668227776	0.0002475350422722643	0.00023089997644944947	0.00021360994928736166	0.00019647961672650754	0.00018012201766538641	0.0001649326024651285	0.00015110808562199924	0.00013868797270755672	0.00012760607159819636	0.00011774210437763022	0.00010896854945437602	0.00010119412531718178	9.441247271290971e-05	8.877272992704254e-05	8.469816923575481e-05	8.308980553585238e-05	8.566253336732055e-05	9.546818299080616e-05	0.00011765599319809486	0.00016049624510679282	0.0002366355890168914	0.0003644542132499758	0.0005692566760604758	0.0008838694306792873	0.0013480826573709782	0.0020063289360138887	0.002903113131542632	0.0040760554357178085	0.005546987551000024	0.007312268923654564	0.009334187873797464	0.011535735847907484	0.013800949525399706	0.015982263669372786	0.017914955352677606	0.01943706113548592	0.020411564805859813	0.020746683824086683
